,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
0,1,Milwaukee Bucks,29.4,13,3,12,4,9.56,0.54,10.10,111.7,102.7,+9.0,106.6,.290,.449,.582,.552,13.3,21.0,.207,.492,12.6,81.4,.181
1,2,Los Angeles Lakers,29.5,14,2,12,4,8.81,-0.93,7.89,110.7,102.0,+8.7,100.5,.241,.341,.569,.539,13.4,23.7,.181,.499,15.2,79.1,.193
2,3,Toronto Raptors,26.7,11,4,11,4,7.53,0.33,7.86,110.9,103.5,+7.4,101.8,.248,.409,.584,.545,14.2,19.7,.206,.482,13.1,74.5,.176
3,4,Los Angeles Clippers,27.6,12,5,12,5,6.94,0.82,7.76,111.3,104.5,+6.8,102.0,.297,.360,.567,.524,14.2,25.5,.233,.497,13.3,77.2,.212
4,5,Dallas Mavericks,25.7,11,5,12,4,9.13,-1.45,7.68,118.1,109.1,+9.0,100.1,.277,.437,.585,.551,11.5,24.2,.212,.517,11.3,77.0,.167
5,6,Boston Celtics,25.1,11,4,11,4,6.87,-0.07,6.79,109.5,102.7,+6.8,100.4,.258,.388,.549,.508,11.3,20.9,.205,.490,14.3,76.2,.201
6,7,Miami Heat,25.7,11,4,10,5,6.07,-0.81,5.26,108.6,102.6,+6.0,101.2,.312,.392,.590,.554,16.9,21.7,.235,.508,15.7,78.6,.203
7,8,Denver Nuggets,26.1,12,3,10,5,4.93,0.26,5.19,107.9,102.9,+5.0,97.5,.226,.327,.533,.503,11.9,24.5,.167,.494,13.4,78.4,.202
8,9,Utah Jazz,28.0,11,5,10,6,4.00,-0.12,3.88,105.8,101.8,+4.0,100.5,.318,.367,.565,.522,14.7,18.7,.244,.484,12.5,80.7,.189
9,10,Philadelphia 76ers,26.6,11,5,11,5,5.19,-1.39,3.79,108.7,103.6,+5.1,100.7,.244,.340,.564,.535,14.6,24.0,.179,.516,14.1,83.1,.233
10,11,Houston Rockets,29.3,11,6,10,7,3.18,0.59,3.77,112.2,109.1,+3.1,105.4,.324,.503,.571,.527,12.9,23.0,.251,.527,13.5,76.5,.181
11,12,Phoenix Suns,25.3,8,8,9,7,2.94,0.40,3.34,110.1,107.3,+2.8,102.6,.279,.399,.577,.533,13.0,18.4,.228,.526,15.0,78.1,.222
12,13,Indiana Pacers,25.5,9,6,10,5,4.40,-1.90,2.50,107.7,103.3,+4.4,99.2,.192,.286,.546,.512,12.4,23.5,.159,.500,13.8,79.4,.187
13,14,Oklahoma City Thunder,25.5,5,10,7,8,-0.67,1.13,0.47,106.6,107.3,-0.7,99.8,.299,.352,.566,.522,14.2,18.5,.237,.510,13.7,75.7,.186
14,15,Orlando Magic,26.2,6,9,7,8,-0.80,0.93,0.13,104.6,105.4,-0.8,97.6,.246,.354,.521,.481,11.8,23.5,.193,.515,12.9,80.4,.161
15,16,Minnesota Timberwolves,25.1,8,8,7,9,-1.88,-0.07,-1.95,106.3,108.1,-1.8,104.6,.274,.426,.542,.506,13.4,23.1,.203,.516,13.4,76.5,.206
16,17,Washington Wizards,25.1,5,9,7,7,-1.21,-0.77,-1.99,114.5,115.6,-1.1,104.0,.198,.365,.580,.550,12.5,23.2,.160,.552,13.3,74.7,.222
17,18,New Orleans Pelicans,25.8,6,11,6,11,-4.41,1.81,-2.60,109.9,114.0,-4.1,105.0,.230,.420,.564,.537,13.6,23.9,.167,.545,13.8,76.4,.236
18,19,Brooklyn Nets,26.3,8,8,7,9,-1.38,-1.80,-3.18,107.5,108.8,-1.3,103.8,.297,.408,.556,.518,13.8,22.1,.222,.508,11.5,78.4,.201
19,20,Sacramento Kings,27.3,7,8,6,9,-3.73,0.44,-3.30,107.5,111.4,-3.9,98.1,.235,.398,.558,.524,14.6,23.4,.184,.544,14.2,77.3,.210
20,21,Chicago Bulls,24.0,6,11,7,10,-2.59,-0.95,-3.54,105.0,107.5,-2.5,102.8,.259,.388,.533,.495,13.1,22.9,.195,.527,16.3,74.9,.250
21,22,Portland Trail Blazers,26.9,5,12,7,10,-3.82,0.26,-3.57,108.5,112.2,-3.7,103.0,.233,.373,.550,.512,12.1,21.4,.189,.506,11.9,74.3,.249
22,23,San Antonio Spurs,28.7,6,11,7,10,-2.59,-1.09,-3.68,111.1,113.7,-2.6,101.5,.272,.278,.563,.524,12.4,24.1,.212,.544,11.3,79.9,.193
23,24,Detroit Pistons,26.1,5,11,6,10,-3.44,-0.67,-4.11,107.5,110.9,-3.4,100.0,.283,.368,.574,.538,15.7,22.3,.215,.541,13.8,77.1,.181
24,25,Cleveland Cavaliers,25.0,5,11,4,12,-7.31,1.97,-5.35,105.0,112.3,-7.3,99.4,.270,.365,.536,.493,13.2,22.1,.213,.549,12.6,77.4,.153
25,26,New York Knicks,24.4,4,13,5,12,-6.65,-0.83,-7.48,104.1,110.9,-6.8,98.0,.275,.338,.522,.493,13.5,26.1,.184,.535,13.8,77.7,.243
26,27,Atlanta Hawks,24.0,4,12,4,12,-9.88,2.14,-7.73,104.5,114.1,-9.6,102.5,.280,.363,.547,.512,15.2,23.4,.205,.546,14.5,74.2,.244
27,28,Memphis Grizzlies,24.3,5,10,4,11,-8.87,1.01,-7.86,103.9,112.4,-8.5,104.1,.215,.336,.548,.517,14.8,22.0,.164,.535,12.9,78.6,.230
28,29,Charlotte Hornets,24.5,6,11,5,12,-7.41,-0.73,-8.14,105.7,113.1,-7.4,99.9,.252,.408,.556,.527,15.1,22.2,.181,.558,14.7,74.3,.155
29,30,Golden State Warriors,24.4,3,14,4,13,-10.35,0.91,-9.44,105.6,115.7,-10.1,101.8,.265,.334,.536,.487,12.4,22.1,.222,.561,13.4,75.6,.188
